"content_id","game_id","content","type","rumored","homophobia","transphobia","queer_men","queer_women","char_sexuality","char_gender","char_role","human","char_race","actions","optional_relationships","bisexual_workers"
"1436","7707","cop","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","yes","race indeterminate","nan","nan","nan"
"1437","7707","cop","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1438","7707","cop","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","enemies","yes","white","nan","nan","nan"
"1439","7707","fiona","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","npc","yes","white","nan","nan","nan"
"1440","7707","fiona and mickey","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1441","7708","kian","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
"1442","7707","mickey","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","npc","yes","white","nan","nan","nan"
"1443","7709","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1444","7708","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1445","7710","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1446","7711","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1447","7712","same sex marriage","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
"1448","7712","same-sex relationships","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
"1449","7713","\"drag queen bus\"","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1450","7714","abigail black","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","pc","nan","nan","nan","nan","nan"
"1451","7713","carla (drag queen)","characters","unknown","unknown","unknown","yes","no","gay explicit","gender non-conforming","npc","yes","nan","nan","nan","nan"
"1452","7713","lola (drag queen)","characters","unknown","unknown","unknown","yes","no","gay explicit","gender non-conforming","npc","yes","nan","nan","nan","nan"
